codice_proiezione,data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
PRO000001,2018-01-01 10:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,6.50
PRO000002,2018-01-01 13:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.00
PRO000003,2018-01-02 10:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.00
PRO000004,2018-01-03 10:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
PRO000005,2018-01-03 13:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,6.50
PRO000006,2018-01-04 10:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,6.50
PRO000007,2018-01-05 10:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,7.00
PRO000008,2018-01-06 10:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,7.00
PRO000009,2018-01-06 12:30:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,8.50
PRO000010,2018-01-06 15:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,8.00
PRO000011,2018-01-07 10:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,6.50
PRO000012,2018-01-07 13:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,8.50
PRO000013,2018-01-07 16:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,8.50
PRO000014,2018-01-08 10:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,6.50
PRO000015,2018-01-08 12:30:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,7.50
PRO000016,2018-01-09 10:00:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,7.00
PRO000017,2018-01-10 10:00:00,Once Upon a Time in the West,Western,Sergio Leone,1968,165,0,7.00
PRO000018,2018-01-10 13:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,8.00
PRO000019,2018-01-10 16:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
